state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Sikkim,Mangan(DISTRICT COLLECTOR MANGAN_IDA),3,9378159.0,3126053.0,14.4,0,0.0,31.45714285714286,-17.057142857142857,20.0,District and IDA parameters match regional baseline standards.
Sikkim,Pakyong(DISTRICT COLLECTOR PAKYONG_IDA),2,3000000.0,1500000.0,16.9,0,0.0,31.45714285714286,-14.55714285714286,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,Ariyalur(District Collector Ariyalur_IDA),10,16297362.0,1629736.2,65.97,6,60.0,36.79733924611973,29.172660753880265,85.0,IDA average risk (66.0) is significantly higher than state baseline (36.8). | High concentration of flagged projects (60.0% critical/high risk).
Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),198,55485149.0,280228.0252525252,36.85808080808081,33,16.666666666666664,36.79733924611973,0.06074156196107339,45.0,Unusually high project concentration (198 works sanctioned).
Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),40,109556444.0,2738911.1,63.875,16,40.0,36.79733924611973,27.077660753880266,85.0,IDA average risk (63.9) is significantly higher than state baseline (36.8). | High concentration of flagged projects (40.0% critical/high risk).
Tamil Nadu,COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),28,52737214.0,1883471.9285714286,53.957142857142856,10,35.714285714285715,36.79733924611973,17.159803611023122,85.0,IDA average risk (54.0) is significantly higher than state baseline (36.8). | High concentration of flagged projects (35.7% critical/high risk).
Tamil Nadu,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),69,71200887.0,1031896.9130434783,44.507246376811594,1,1.4492753623188406,36.79733924611973,7.70990713069186,40.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),17,16488312.0,969900.7058823529,31.34705882352941,0,0.0,36.79733924611973,-5.450280422590325,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),37,49194835.0,1329590.1351351351,37.11891891891892,1,2.7027027027027026,36.79733924611973,0.32157967279918864,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),63,61089186.0,969669.619047619,34.96825396825397,5,7.936507936507936,36.79733924611973,-1.8290852778657651,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,KALLAKURICHI(District Collector Kallakurichi_IDA),49,41165651.0,840115.3265306122,19.00204081632653,0,0.0,36.79733924611973,-17.795298429793203,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA),53,60176623.0,1135407.9811320754,31.128301886792453,8,15.09433962264151,36.79733924611973,-5.66903735932728,35.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,KARUR(DISTRICT COLLECTOR KARUR_IDA),34,21675532.0,637515.6470588235,37.529411764705884,3,8.823529411764707,36.79733924611973,0.7320725185861505,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA),43,37274009.0,866837.4186046511,20.16046511627907,1,2.3255813953488373,36.79733924611973,-16.636874129840663,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),66,67101726.0,1016692.8181818182,42.556060606060605,17,25.757575757575758,36.79733924611973,5.758721359940871,70.0,High concentration of flagged projects (25.8% critical/high risk).
Tamil Nadu,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),43,44121412.0,1026079.3488372093,53.0953488372093,7,16.27906976744186,36.79733924611973,16.298009591089567,70.0,IDA average risk (53.1) is significantly higher than state baseline (36.8).
Tamil Nadu,Mayiladuthurai(District Collector Mayiladuthurai_IDA),25,19020000.0,760800.0,35.656,6,24.0,36.79733924611973,-1.1413392461197347,35.0,High concentration of flagged projects (24.0% critical/high risk).
Tamil Nadu,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),56,42423402.0,757560.75,18.3125,0,0.0,36.79733924611973,-18.484839246119734,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA),17,20935000.0,1231470.5882352942,54.099999999999994,1,5.88235294117647,36.79733924611973,17.30266075388026,55.0,IDA average risk (54.1) is significantly higher than state baseline (36.8).
Tamil Nadu,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),52,36493904.0,701805.8461538461,31.54423076923077,0,0.0,36.79733924611973,-5.253108476888965,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),2,1599477.0,799738.5,13.4,0,0.0,36.79733924611973,-23.397339246119735,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",25,25162408.0,1006496.32,56.912,11,44.0,36.79733924611973,20.114660753880266,85.0,IDA average risk (56.9) is significantly higher than state baseline (36.8). | High concentration of flagged projects (44.0% critical/high risk).
Tamil Nadu,SALEM(DISTRICT COLLECTOR SALEM_IDA),47,23871974.0,507914.3404255319,46.274468085106385,6,12.76595744680851,36.79733924611973,9.477128838986651,55.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),55,42292665.0,768957.5454545454,42.06727272727272,9,16.363636363636363,36.79733924611973,5.269933481152989,55.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),47,57319815.0,1219570.5319148935,44.31063829787234,9,19.148936170212767,36.79733924611973,7.513299051752604,55.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA),37,54557899.0,1474537.810810811,27.33243243243243,0,0.0,36.79733924611973,-9.464906813687303,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA),18,11960640.0,664480.0,54.00555555555556,3,16.666666666666664,36.79733924611973,17.208216309435826,70.0,IDA average risk (54.0) is significantly higher than state baseline (36.8).
Tamil Nadu,THENI(District Collector Theni_5),17,11575000.0,680882.3529411765,72.34117647058824,13,76.47058823529412,36.79733924611973,35.543837224468504,85.0,IDA average risk (72.3) is significantly higher than state baseline (36.8). | High concentration of flagged projects (76.5% critical/high risk).
Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),93,55529092.0,597087.0107526882,26.813978494623655,4,4.301075268817205,36.79733924611973,-9.983360751496079,30.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA),24,21125234.0,880218.0833333334,29.479166666666668,0,0.0,36.79733924611973,-7.318172579453066,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),34,58540763.0,1721787.1470588236,54.7764705882353,7,20.588235294117645,36.79733924611973,17.979131342115565,70.0,IDA average risk (54.8) is significantly higher than state baseline (36.8). | High concentration of flagged projects (20.6% critical/high risk).
Tamil Nadu,TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA),46,29196739.0,634711.7173913043,39.43043478260869,0,0.0,36.79733924611973,2.633095536488959,20.0,District and IDA parameters match regional baseline standards.
Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),64,58649055.0,916391.484375,56.1859375,15,23.4375,36.79733924611973,19.388598253880268,70.0,IDA average risk (56.2) is significantly higher than state baseline (36.8). | High concentration of flagged projects (23.4% critical/high risk).
Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),195,89764811.0,460332.3641025641,26.463076923076922,2,1.0256410256410255,36.79733924611973,-10.334262323042811,30.0,Unusually high project concentration (195 works sanctioned).
Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),15,35986942.0,2399129.466666667,54.580000000000005,6,40.0,36.79733924611973,17.782660753880272,85.0,IDA average risk (54.6) is significantly higher than state baseline (36.8). | High concentration of flagged projects (40.0% critical/high risk).
