work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP18307/2025-2026/143526-Construction of rooms and halls in school and colleges,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,"Ward 5  - Reconstruction of Kindergarten at Balkawade Compound, Hanuman Tekdi Road, Kazupada, Borivali East",2024-09-25,2026-03-25,4500000.0,546,Sanction,60.8,15.0,100.0,0.0,15.0,18.24,2.25,15.0,0.0,1.5,43.82,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 546 days.,95.0,85.0,77.5,9.5,8.5,54.989999999999995,100.0,79.7,79.7,Recommendation-to-sanction approval delay of 546 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18114/2025-2026/166011-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land near Sri Kshetra Ganpati Temple.,2025-01-16,2026-02-09,1000000.0,389,Vendor Identification,30.3,15.0,100.0,100.0,15.0,9.09,2.25,15.0,10.0,1.5,46.62,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,78.6,8.5,8.5,54.84,100.0,79.7,79.7,Recommendation-to-sanction approval delay of 389 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP827/2025-2026/152381-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall at Rangamati village,2024-11-14,2026-02-06,6000000.0,449,Sanction,87.4,15.0,100.0,0.0,15.0,26.22,2.25,15.0,0.0,1.5,54.46,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 449 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,55.0,45.0,81.8,5.5,4.5,54.97,100.0,79.7,79.7,Recommendation-to-sanction approval delay of 449 days.
WS/MP459/2025-2026/169435-Development of public parks,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,Repair and Renovation,"Renovation of Neelangarai, Worker Estate Corporation Park with All Modern Facilities",2025-01-28,2026-02-19,3525000.0,387,Time Estimation,68.6,15.0,100.0,0.0,15.0,20.58,2.25,15.0,0.0,1.5,46.94,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 387 days.,85.0,70.0,78.8,8.5,7.0,54.83,100.0,79.7,79.7,Recommendation-to-sanction approval delay of 387 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18337/2026-2027/183604-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),K RADHAKRISHNAN,ALATHUR(SC),Normal/Others,"CONSTRUCTION OF LIFT IN OP TRANSFORMATION BLOCK AT DISTRICT HOSPITAL ,WADAKKANCHERY",2025-03-18,2026-05-14,5170000.0,422,Sanction,72.9,15.0,100.0,0.0,15.0,21.87,2.25,15.0,0.0,1.5,48.66,100.0,79.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 422 days.,70.0,70.0,79.5,7.0,7.0,54.620000000000005,100.0,79.6,79.6,Recommendation-to-sanction approval delay of 422 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18008/2026-2027/166546-Construction of community centers and community halls,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani,GUNTUR,Normal/Others,"Providing Amenities to Community Hall in Narakoduru village of Chebrolu Mandal, Guntur District",2025-01-19,2026-07-09,5000000.0,536,Vendor Identification,72.9,15.0,100.0,0.0,15.0,21.87,2.25,15.0,0.0,1.5,48.66,100.0,79.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 536 days.,70.0,70.0,79.5,7.0,7.0,54.620000000000005,100.0,79.6,79.6,Recommendation-to-sanction approval delay of 536 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18120/2026-2027/192783-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,Construction of Cement Concrete Road At Walki (Kh.) Tq. Hadgaon Dist. Nanded,2025-04-21,2026-07-31,699707.0,466,Work partially Completed,34.2,15.0,100.0,100.0,15.0,10.26,2.25,15.0,10.0,1.5,48.18,100.0,79.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 466 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,79.3,8.5,7.0,54.51,100.0,79.5,79.5,Recommendation-to-sanction approval delay of 466 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP356/2025-2026/140606-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta,MANDSOUR,Normal/Others,CONSTRUCTION OF CC ROAD,2024-09-13,2026-01-21,150000.0,495,Vendor Identification,34.2,15.0,100.0,100.0,15.0,10.26,2.25,15.0,10.0,1.5,48.18,100.0,79.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 495 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,79.3,8.5,7.0,54.51,100.0,79.5,79.5,Recommendation-to-sanction approval delay of 495 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18184/2025-2026/171252-Lighting of public spaces,Tamil Nadu,THENI(District Collector Theni_5),THANGA TAMILSELVAN,THENI,Normal/Others,Setting up new high voltage light lamp post,2025-02-01,2026-02-09,350000.0,373,Work Completed,28.3,15.0,100.0,100.00000000000004,15.0,8.49,2.25,15.0,10.0,1.5,45.82,100.00000000000004,79.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 373 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,78.3,8.5,8.5,54.24,100.00000000000004,79.4,79.4,Recommendation-to-sanction approval delay of 373 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18219/2025-2026/137970-Lighting of public spaces,Uttar Pradesh,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast Light Jeetendra ke makan ke pass,2024-09-11,2025-11-27,400000.0,442,Vendor Identification,33.4,15.0,100.0,100.00000000000004,15.0,10.02,2.25,15.0,10.0,1.5,47.86,100.00000000000004,79.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,79.1,8.5,7.0,54.269999999999996,100.00000000000004,79.4,79.4,Recommendation-to-sanction approval delay of 442 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18184/2025-2026/171253-Lighting of public spaces,Tamil Nadu,THENI(District Collector Theni_5),THANGA TAMILSELVAN,THENI,Normal/Others,Setting up new high voltage light lamp post,2025-02-01,2026-02-09,350000.0,373,Work Completed,28.3,15.0,100.0,100.00000000000004,15.0,8.49,2.25,15.0,10.0,1.5,45.82,100.00000000000004,79.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 373 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,78.3,8.5,8.5,54.24,100.00000000000004,79.4,79.4,Recommendation-to-sanction approval delay of 373 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18184/2025-2026/169907-Lighting of public spaces,Tamil Nadu,THENI(District Collector Theni_5),THANGA TAMILSELVAN,THENI,Normal/Others,Setting up new High Voltage lamp post,2025-01-29,2026-02-02,350000.0,369,Work Completed,27.4,15.0,100.0,100.00000000000004,15.0,8.22,2.25,15.0,10.0,1.5,45.46,100.00000000000004,79.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 369 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,78.2,8.5,8.5,53.97,100.00000000000004,79.3,79.3,Recommendation-to-sanction approval delay of 369 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP344/2026-2027/186949-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Shri M K Raghavan,KOZHIKODE,Repair and Renovation,Repair and Maintanance of Kattayattuthazham Panoli Road,2025-03-28,2026-07-31,500000.0,490,Sanction,62.2,15.0,100.0,0.0,15.0,18.66,2.25,15.0,0.0,1.5,44.379999999999995,100.0,79.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 490 days.,95.0,70.0,77.8,9.5,7.0,53.91,100.0,79.3,79.3,Recommendation-to-sanction approval delay of 490 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18124/2025-2026/162358-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,"Construction of pathways, concreting with drainage",2025-01-17,2025-07-23,2000000.0,187,Vendor Identification,36.8,15.0,75.0,100.00000000000004,15.0,11.04,2.25,11.25,10.0,1.5,45.47,100.00000000000004,79.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 187 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.2,9.5,8.5,54.04,100.00000000000004,79.3,79.3,Recommendation-to-sanction approval delay of 187 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18019/2026-2027/139500-Construction of community centers and community halls,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),Normal/Others,"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",2024-09-06,2026-07-31,5000000.0,693,Physical Inspection,70.4,15.0,100.0,0.0,15.0,21.12,2.25,15.0,0.0,1.5,47.66,100.0,79.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 693 days.,85.0,55.0,79.1,8.5,5.5,53.870000000000005,100.0,79.2,79.2,Recommendation-to-sanction approval delay of 693 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18219/2025-2026/137953-Lighting of public spaces,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast light Durga mata Mandir ke pass,2024-09-11,2025-09-30,323000.0,384,Work Completed,31.0,15.0,100.0,100.00000000000004,15.0,9.3,2.25,15.0,10.0,1.5,46.9,100.00000000000004,79.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 384 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,78.8,8.5,7.0,53.55,100.00000000000004,79.1,79.1,Recommendation-to-sanction approval delay of 384 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18219/2025-2026/137957-Lighting of public spaces,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High mast Light  Shankar jee ke mandir ke pass.,2024-09-11,2025-09-30,323000.0,384,Work Completed,31.0,15.0,100.0,100.0,15.0,9.3,2.25,15.0,10.0,1.5,46.9,100.0,79.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 384 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,78.8,8.5,7.0,53.55,100.0,79.1,79.1,Recommendation-to-sanction approval delay of 384 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18120/2026-2027/192782-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,Construction of Cement Concrete Road At Walki (Kh.) Tq. Hadgaon Dist. Nanded,2025-04-21,2026-07-31,300000.0,466,Work partially Completed,31.0,15.0,100.0,100.0,15.0,9.3,2.25,15.0,10.0,1.5,46.9,100.0,79.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 466 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,78.8,8.5,7.0,53.55,100.0,79.1,79.1,Recommendation-to-sanction approval delay of 466 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18219/2025-2026/137954-Lighting of public spaces,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast Light Shankar jee ke mandir ke pass,2024-09-11,2025-09-30,323000.0,384,Work Completed,31.0,15.0,100.0,100.0,15.0,9.3,2.25,15.0,10.0,1.5,46.9,100.0,79.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 384 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,78.8,8.5,7.0,53.55,100.0,79.1,79.1,Recommendation-to-sanction approval delay of 384 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
